times,prices,status: base,power: base,status: peaker,power: peaker,power: wind,load power: Ireland
2010-04-27 00:00:00,30.0,True,2197.0,False,0.0,303,2500
2010-04-27 00:15:00,30.0,True,2178.0,False,0.0,311,2489
2010-04-27 00:30:00,30.0,True,2092.0,False,0.0,340,2432
2010-04-27 00:45:00,30.0,True,2012.0,False,0.0,360,2372
2010-04-27 01:00:00,30.0,True,1975.0,False,0.0,345,2320
2010-04-27 01:15:00,30.0,True,1918.0,False,0.0,348,2266
2010-04-27 01:30:00,30.0,True,1824.0,False,0.0,411,2235
2010-04-27 01:45:00,30.0,True,1804.0,False,0.0,405,2209
2010-04-27 02:00:00,30.0,True,1759.0,False,0.0,411,2170
2010-04-27 02:15:00,30.0,True,1734.0,False,0.0,417,2151
2010-04-27 02:30:00,30.0,True,1699.0,False,0.0,433,2132
2010-04-27 02:45:00,30.0,True,1665.0,False,0.0,445,2110
2010-04-27 03:00:00,30.0,True,1645.0,False,0.0,450,2095
2010-04-27 03:15:00,30.0,True,1658.0,False,0.0,411,2069
2010-04-27 03:30:00,30.0,True,1616.0,False,0.0,457,2073
2010-04-27 03:45:00,30.0,True,1563.0,False,0.0,471,2034
2010-04-27 04:00:00,30.0,True,1576.0,False,0.0,455,2031
2010-04-27 04:15:00,30.0,True,1561.0,False,0.0,498,2059
2010-04-27 04:30:00,30.0,True,1484.0,False,0.0,516,2000
2010-04-27 04:45:00,30.0,True,1530.0,False,0.0,524,2054
2010-04-27 05:00:00,30.0,True,1545.0,False,0.0,525,2070
2010-04-27 05:15:00,30.0,True,1550.0,False,0.0,522,2072
2010-04-27 05:30:00,30.0,True,1571.0,False,0.0,513,2084
2010-04-27 05:45:00,30.0,True,1620.0,False,0.0,500,2120
2010-04-27 06:00:00,30.0,True,1614.0,False,0.0,534,2148
2010-04-27 06:15:00,30.0,True,1613.0,False,0.0,615,2228
2010-04-27 06:30:00,30.0,True,1623.0,False,0.0,650,2273
2010-04-27 06:45:00,30.0,True,1705.0,False,0.0,662,2367
2010-04-27 07:00:00,30.0,True,1817.0,False,0.0,672,2489
2010-04-27 07:15:00,30.0,True,2035.0,False,0.0,657,2692
2010-04-27 07:30:00,30.0,True,2192.0,False,0.0,630,2822
2010-04-27 07:45:00,30.0,True,2361.0,False,0.0,598,2959
2010-04-27 08:00:00,30.0,True,2415.0,False,0.0,651,3066
2010-04-27 08:15:00,30.0,True,2514.0,False,0.0,691,3205
2010-04-27 08:30:00,30.0,True,2557.0,False,0.0,702,3259
2010-04-27 08:45:00,30.0,True,2619.0,False,0.0,627,3246
2010-04-27 09:00:00,30.0,True,2609.0,False,0.0,636,3245
2010-04-27 09:15:00,30.0,True,2622.0,False,0.0,693,3315
2010-04-27 09:30:00,30.0,True,2635.0,False,0.0,699,3334
2010-04-27 09:45:00,30.0,True,2645.0,False,0.0,712,3357
2010-04-27 10:00:00,30.0,True,2628.0,False,0.0,723,3351
2010-04-27 10:15:00,30.0,True,2575.0,False,0.0,767,3342
2010-04-27 10:30:00,30.0,True,2567.0,False,0.0,801,3368
2010-04-27 10:45:00,30.0,True,2592.0,False,0.0,784,3376
2010-04-27 11:00:00,30.0,True,2577.0,False,0.0,797,3374
2010-04-27 11:15:00,30.0,True,2548.0,False,0.0,808,3356
2010-04-27 11:30:00,30.0,True,2550.0,False,0.0,813,3363
2010-04-27 11:45:00,30.0,True,2540.0,False,0.0,829,3369
2010-04-27 12:00:00,30.0,True,2579.0,False,0.0,784,3363
2010-04-27 12:15:00,30.0,True,2616.0,False,0.0,729,3345
2010-04-27 12:30:00,30.0,True,2613.0,False,0.0,766,3379
2010-04-27 12:45:00,30.0,True,2628.0,False,0.0,766,3394
2010-04-27 13:00:00,30.0,True,2607.0,False,0.0,771,3378
2010-04-27 13:15:00,30.0,True,2573.0,False,0.0,757,3330
2010-04-27 13:30:00,30.0,True,2520.0,False,0.0,782,3302
